sent_id	dependent_position	dependent	head_position	head	deprel	rule
hil-data,0.3	2	Ganioxoa	1	LotaGa	nmod:poss	possessive-np-possessor
hil-data,0.4	2	Gadodawa	1	LotaGa	nmod:poss	possessive-np-possessor
hil-data,0.10	1	NaGajo	2	lomigo	det	possessive-np-determiner
hil-data,0.10	3	Pedilo	2	lomigo	nmod:poss	possessive-np-possessor
hil-data,0.11	1	NaGajo	2	lomigo	det	possessive-np-determiner
hil-data,0.11	3	niganigawanigi	2	lomigo	nmod:poss	possessive-np-possessor
hil-data,0.13	1	niGijoa	2	lionaGa	det	possessive-np-determiner
hil-data,0.13	3	iwaalo	2	lionaGa	nmod:poss	possessive-np-possessor
hil-data,0.33	1	NiGida	2	lodajo	det	possessive-np-determiner
hil-data,0.33	3	lodawa	2	lodajo	nmod:poss	possessive-np-possessor
hil-data,0.34	2	niganigawanigi	1	liwigo	nmod:poss	possessive-np-possessor
hil-data,0.41	1	NiGidoa	3	lotiidi	det	possessive-np-determiner
hil-data,0.41	2	waca	3	lotiidi	nmod:poss	possessive-np-possessor
hil-data,0.44	1	NiGidiwa	3	lixagotaGaGa	det	possessive-np-determiner
hil-data,0.44	2	noGojedi	3	lixagotaGaGa	nmod:poss	possessive-np-possessor
hil-data,0.60	1	niGijo	2	nelokodi	det	possessive-np-determiner
hil-data,0.60	3	Maria	2	nelokodi	nmod:poss	possessive-np-possessor
hil-data,0.62	1	NaGada	2	libiwe	det	possessive-np-determiner
hil-data,0.62	3	niale	2	libiwe	nmod:poss	possessive-np-possessor
hil-data,0.64	1	Nigijoa	2	lianaGa	det	possessive-np-determiner
hil-data,0.64	3	Maria	2	lianaGa	nmod:poss	possessive-np-possessor
hil-data,0.65	1	NiGidi	2	lionaGa	det	possessive-np-determiner
hil-data,0.65	3	iwaalo	2	lionaGa	nmod:poss	possessive-np-possessor
hil-data,0.66	4	nigotaGa	3	nakidi	nmod:poss	possessive-np-possessor
hil-data,0.67	4	nigotaGa	3	nakidi	nmod:poss	possessive-np-possessor
hil-data,0.68	2	liGeladi	1	nigotaGa	nmod:poss	possessive-np-possessor
hil-data,0.69	4	Pedilo	3	liwatece	nmod:poss	possessive-np-possessor
hil-data,0.70	5	ideloGole	4	liwatece	nmod:poss	possessive-np-possessor
ped-gramm,0.7	2	Maria	1	liGeladi	nmod:poss	possessive-np-possessor
ped-gramm,0.18	1	ica	2	lideGegi	det	possessive-np-determiner
ped-gramm,0.18	3	loligi	2	lideGegi	nmod:poss	possessive-np-possessor
ped-gramm,0.22	1	ica	2	nioladi	det	possessive-np-determiner
ped-gramm,0.22	3	nioxoa	2	nioladi	nmod:poss	possessive-np-possessor
ped-gramm,0.23	1	ica	2	nioladi	det	possessive-np-determiner
ped-gramm,0.23	3	lodawa	2	nioladi	nmod:poss	possessive-np-possessor
ped-gramm,0.43	2	GanaginaGa	1	lotaGa	nmod:poss	possessive-np-possessor
ped-gramm,0.46	2	João	1	liGeladi	nmod:poss	possessive-np-possessor
ped-gramm,0.47	3	niweiigi	4	nigotaGa	nmod:poss	possessive-np-possessor
ped-gramm,0.48	4	nigotaGa	3	niweiigi	nmod:poss	possessive-np-possessor
ped-gramm,0.55	1	niGidowa	3	lotiidi	det	possessive-np-determiner
ped-gramm,0.55	2	waca	3	lotiidi	nmod:poss	possessive-np-possessor
van-data,0.6	2	GanaaginaGa	1	lotaGa	nmod:poss	possessive-np-possessor
van-data,0.7	2	Gadodawa	1	lotaGa	nmod:poss	possessive-np-possessor
van-data,0.13	1	naGajo	2	lomiigo	det	possessive-np-determiner
van-data,0.13	3	Pedro	2	lomiigo	nmod:poss	possessive-np-possessor
van-data,0.14	1	naGajo	2	lomiigo	det	possessive-np-determiner
van-data,0.14	3	nigaanigawaanigi	2	lomiigo	nmod:poss	possessive-np-possessor
van-data,0.19	1	niGijoa	2	lionigipi	det	possessive-np-determiner
van-data,0.19	3	iwaalo	2	lionigipi	nmod:poss	possessive-np-possessor
van-data,0.30	1	niGijo	2	lodaajo	det	possessive-np-determiner
van-data,0.30	4	lodowa	2	lodaajo	nmod:poss	possessive-np-possessor
van-data,0.31	1	ica	2	liwigo	det	possessive-np-determiner
van-data,0.31	3	niganigawanigi	2	liwigo	nmod:poss	possessive-np-possessor
van-data,0.40	1	niGidowa	3	lotiidi	det	possessive-np-determiner
van-data,0.40	2	waca	3	lotiidi	nmod:poss	possessive-np-possessor
van-data,0.41	1	idowa	3	lotiidi	det	possessive-np-determiner
van-data,0.41	2	waca	3	lotiidi	nmod:poss	possessive-np-possessor
van-data,0.43	1	ijo	3	libinienigi	det	possessive-np-determiner
van-data,0.43	2	niwigo	3	libinienigi	nmod:poss	possessive-np-possessor
van-data,0.47	1	idiwa	3	lixagotaGaGa	det	possessive-np-determiner
van-data,0.47	2	noGojedi	3	lixagotaGaGa	nmod:poss	possessive-np-possessor
van-data,0.67	1	ijo	2	lemé	det	possessive-np-determiner
van-data,0.67	3	Maria	2	lemé	nmod:poss	possessive-np-possessor
van-data,0.69	2	niale	1	libiwe	nmod:poss	possessive-np-possessor
van-data,0.72	1	ijowa	2	leonigipi	det	possessive-np-determiner
van-data,0.72	3	iwaalo	2	leonigipi	nmod:poss	possessive-np-possessor
van-data,0.73	3	niweiigi	4	nigotaGa	nmod:poss	possessive-np-possessor
van-data,0.74	4	nigotaGa	3	niweiigi	nmod:poss	possessive-np-possessor
van-data,0.75	2	liGeladi	1	nigotaGa	nmod:poss	possessive-np-possessor
