host_token	issue_type	known_glosses_elsewhere	morpheme_form	text	uid
Ganixoa	missing_split_gloss_but_known_for_same_morpheme	"[""2""]"	Gad	ica nioladi Ganixoa	5d0b94bf-223d-4f09-8c6f-b951a70d6d0b
ajo	missing_split_gloss_but_known_for_same_morpheme	"[""F""]"	a	ajo liwatece ja iwaGadi	ed98d4d1-638c-4377-8c6d-5511855636d1
ajo	missing_split_gloss_but_known_for_same_morpheme	"[""F""]"	a	ajo niwatece ipegitege weiigi	1b99ecb9-5656-4c38-b60b-fbbe643708fb
naGajo	missing_split_gloss_but_known_for_same_morpheme	"[""F""]"	a	iGeladi idei mijo naigi naGajo	7b810df7-6ed0-4027-b2fe-72c64e9ca1dc
dapiko	missing_split_gloss_but_known_for_same_morpheme	"[""quente""]"	apiko	ica looligi ja dapiko	5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5
ica	missing_split_gloss_but_known_for_same_morpheme	"[""ausente""]"	ca	ica liGeladi ipegetege	79a6cd4e-b585-437a-9084-1fa077dec3b6
ica	missing_split_gloss_but_known_for_same_morpheme	"[""ausente""]"	ca	ica liGeladi ipegitegi	2fff1f23-4e6f-401c-8b74-6a17ff6a391a
ica	missing_split_gloss_but_known_for_same_morpheme	"[""ausente""]"	ca	ica Maria looligi alidi	fef391af-9e63-419f-8f81-057459193f49
ica	missing_split_gloss_but_known_for_same_morpheme	"[""ausente""]"	ca	ica looligi lidi	070d221f-f72d-4055-9c82-ddc383743e6a
ica	missing_split_gloss_but_known_for_same_morpheme	"[""ausente""]"	ca	ica looligi dapiko	68277d1f-c30b-4c4f-ba9e-c2883cc133af
ica	missing_split_gloss_but_known_for_same_morpheme	"[""ausente""]"	ca	ica looligi ja dapiko	5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5
ica	missing_split_gloss_but_known_for_same_morpheme	"[""ausente""]"	ca	ica looligi lidGegi	c5bd2cb2-e53b-40e4-9159-6dacde49c1b6
micoataGa	missing_split_gloss_but_known_for_same_morpheme	"[""ausente""]"	ca	Eyodi dowediteloco naodigijedi micoataGa daGa me lionigipi	ee1a1190-7803-404c-83f6-49d3ccf63b0d
ipegitaGagi	missing_split_gloss_but_known_for_same_morpheme	"[""M""]"	gi	iGeladi ipegitaGagi	82117289-be52-45d0-886d-a5747eb20ea2
aG@	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""3"", ""M"", ""masc""]"	i	liGeladi Maria aGipegetege	e553e02e-0d33-4fed-8f6a-b7cf5c9cf9c9
ipegetege	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""3"", ""M"", ""masc""]"	i	ica liGeladi ipegetege	79a6cd4e-b585-437a-9084-1fa077dec3b6
ica	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""3"", ""M"", ""masc""]"	i	ica liGeladi ipegitegi	2fff1f23-4e6f-401c-8b74-6a17ff6a391a
ipegitegi	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""3"", ""M"", ""masc""]"	i	ica liGeladi ipegitegi	2fff1f23-4e6f-401c-8b74-6a17ff6a391a
ica	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""3"", ""M"", ""masc""]"	i	ica Maria looligi alidi	fef391af-9e63-419f-8f81-057459193f49
ica	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""3"", ""M"", ""masc""]"	i	ica looligi lidi	070d221f-f72d-4055-9c82-ddc383743e6a
ica	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""3"", ""M"", ""masc""]"	i	ica looligi dapiko	68277d1f-c30b-4c4f-ba9e-c2883cc133af
ica	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""3"", ""M"", ""masc""]"	i	ica looligi ja dapiko	5bebca84-3ecb-44c1-bf70-7eef6f5c0ff5
ica	missing_split_gloss_but_known_for_same_morpheme	"[""1"", ""3"", ""M"", ""masc""]"	i	ica looligi lidGegi	c5bd2cb2-e53b-40e4-9159-6dacde49c1b6
