base	document_uid	title	reference	selected_json	exports_in_archive	sentences	psd_trees	sha256
tale_03	305b1d99-8900-44a4-99ef-2f43646f3f87	Iauti iauraete	tale_03.txt	6ab546820d7977bbad0e89e7.json	1	11	0	bcd1c7e20dfe0f38303d6a18360f3c55ec859b82db6a97a9e07f6124badd9f1b
tale_05	8d24a63e-8478-409b-8d3a-61239aee89c4	Iauti oiuiuanti macacaitá irumo	tale_05.txt	6ab553b50d7977bbad0e89f1.json	1	8	0	d73874c1210c149a0d76d1c736451ee7d6035723f66480090a8dd6048d0c0ecb
tale_06	0c5b28f2-d5af-4b5e-8869-8754c41496dc	Iauti iuiri iauaraeté	tale_06.txt	6ab549a40d7977bbad0e89ee.json	2	11	0	9a3a67d2cae66e896927611077669470fd65007c59cd694c07e2e5119c625bdf
tale_12a	5fff7ab6-d724-49e6-a5e6-b75f9d5e2f0b	Çuaçu iauareté	tale_12a.txt	6ab545c80d7977bbad0e89e2.json	1	31	0	29d1fad118476bf364bf8c8a0561679bc4e148b65d8bd425a5de73dcc04a9b67
tale_12b	a1a2b07d-b997-462e-879b-0e5992a233a9	Çuaçu iauareté II	tale_12b.txt	6ab545d80d7977bbad0e89e3.json	1	15	0	3338c4a97a26d10bf81ac1e7f5e0c4f4c9737c6513bb131a2c5e1dac09829adc
tale_13a	34ac4b6c-3636-40f3-bb22-3e385163f87a	Cunhã mucu oço uahá ocicári mena	tale_13a.txt	6ab5460f0d7977bbad0e89e5.json	1	19	0	1579da1d9eecf0f306a0e7f42643db8b2557064a94600ce611b602a3911b242c
tale_13b	19484983-fa7f-4b69-996b-b97e1c6afda3	Cunhã mucu oço uahá ocicári mena	tale_13b.txt	6ab545f20d7977bbad0e89e4.json	1	13	0	d54d1ec9b2c9e4c25605d331f574f39b33a48833891138d93bd3138d99f852b6
tale_13c	36aed259-d913-47d0-b4c8-0b67f328a8fd	Cunhã mucu oço uahá ocicári mena	tale_13c.txt	6ab5465e0d7977bbad0e89e6.json	1	17	0	2a442573fee0450b1ca58af272fc3daceaf6e35bab5917b7000a4f741a9111b8
tale_14	d1590857-cb85-458c-9ccd-47ae7a7332ff	Momeucaua mɨura receuára	tale_14.txt	6ab5544a0d7977bbad0e89f8.json	2	20	0	595acf77649fa593e7c530f5b78bdbc03ef4c4350e5d251645186bd0078966ae
tale_16	77674088-b3a4-4082-80d1-674b925ae35d	Micura iauaraté	tale_16.txt	6ab554210d7977bbad0e89f6.json	1	10	0	bfa30c7e00b543e4d2e6ec44e5aeccec5670aa8613cc8f06e138d93fb2e86a94
tale_17	1274c422-d60f-43fe-a9e4-94a361f130e1	Jauarate' cupii'	tale_17.txt	6ab553c60d7977bbad0e89f2.json	1	6	0	f92e728111dde3d42730d9192096eee696ac3c5fda4385cde405cb59be899ee1
tale_20	34b33feb-72ba-41c3-821c-ace7a80d5ae0	Micura iauaraté	tale_20.txt	6ab554360d7977bbad0e89f7.json	1	8	0	2d3c506a126bf69dcc9f8e3a84847fb204a3b0ef9949fd237e6694dd5fde943d
tale_22	e3f48105-26ea-4fc2-97c3-ba3fdb6c0e65	Amu' momẹuçau mɨcura rẹcẹuậra	tale_22.txt	6ab5496c0d7977bbad0e89ed.json	2	28	1	0e13b6f513b6cd4de9ab60557812530422c629d38020730100fcda19668fee26
