source_tag	chunk_label	count
N$	IP-MAT[l=0]	52
N$	NP[l=1]	27
D	IP-MAT[l=0]	20
N	IP-MAT[l=0]	16
N$	NP-SBJ[l=1]	14
VB	IP-MAT[l=0]	13
VBAPL	IP-MAT[l=0]	11
D	NP[l=1]	10
D	NP-SBJ[l=1]	9
N$	NP-PRD[l=1]	8
C	IP-MAT[l=0]	7
N	NP[l=1]	6
N	NP-APL[l=1]	5
ADJ	IP-MAT[l=0]	5
WPRO	IP-MAT[l=0]	4
NPR	IP-MAT[l=0]	3
NEG	IP-MAT[l=0]	3
WPRO	CP-REL[l=2]	3
WPRO	WNP[l=3]	3
ADJ	CP-REL[l=2]	3
ADJ	ADJP[l=3]	3
C	CP-me[l=2]	3
T	IP-MAT[l=0]	2
ADV	IP-MAT[l=0]	2
ADV	ADVP[l=1]	2
N$	NP-APL[l=1]	2
ADJ	NP[l=1]	2
C	NP[l=1]	2
ADJ	CP-me[l=2]	2
WPRO	NP-PRD[l=1]	2
N	IP-SUB[l=2]	2
N	NP[l=3]	2
C	CP-D[l=1]	2
C	CP-daGa[l=2]	2
	IP-MAT[l=0]	2
ADJ	NP-APL[l=1]	2
ADJ	IP-SUB[l=3]	2
ADJ	ADJP[l=4]	2
N	NP-ACC[l=1]	1
NPR	NP-ACC[l=1]	1
NPR	NP[l=1]	1
N	NP-SBJ[l=1]	1
WPRO	NP[l=1]	1
NPR	NP-SBJ[l=1]	1
ADJ	NP-PRD[l=1]	1
C	CP-me[l=1]	1
D	CP-me[l=1]	1
D	IP-SUB[l=2]	1
D	NP[l=3]	1
N	CP-me[l=1]	1
PRO$	IP-MAT[l=0]	1
PRO$	CP-me[l=1]	1
PRO$	IP-SUB[l=2]	1
PRO$	NP[l=3]	1
CD	IP-MAT[l=0]	1
CD	CP-D[l=1]	1
C	CP-me[l=3]	1
N$	CP-D[l=1]	1
N$	CP-daGa[l=2]	1
N$	CP-me[l=3]	1
N$	IP-SUB[l=4]	1
N$	NP[l=5]	1
N	CP-me[l=2]	1
N	IP-SUB[l=3]	1
N	NP[l=4]	1
WPRO	NP[l=2]	1
WPRO	CP-FRL[l=3]	1
WPRO	WNP[l=4]	1
	NP-PRD[l=1]	1
	NP[l=2]	1
	CP-FRL[l=3]	1
	IP-SUB[l=4]	1
	NP-TRACE[l=5]	1
N	NP-PRD[l=1]	1
N	NP[l=2]	1
N	CP-FRL[l=3]	1
N	IP-SUB[l=4]	1
N	NP[l=5]	1
C	CP-daGa[l=1]	1
N	CP-daGa[l=1]	1
WPRO	NP-APL[l=1]	1
	NP-APL[l=1]	1
	CP-REL[l=2]	1
	IP-SUB[l=3]	1
	NP-TRACE[l=4]	1
C	NP-APL[l=1]	1
