source_tag	token_form	count
D	ica	14
N$	iGeladi	9
N$	liGeladi	7
VB	idei	6
VBAPL	ipegitegi	5
N$	looligi	5
N	naigi	5
D	ajo	4
N$	niwatece	4
N$	libinienigi	4
C	me	4
ADJ	napioi	4
N$	Eyodi	4
VB	etadi	3
N	weiigi	3
NEG	aG@	3
WPRO	ane	3
N	niganaGacanajo	3
N$	liwatece	2
T	ja	2
VB	iwaGadi	2
ADV	digoida	2
NPR	Maria	2
VB	dapiko	2
N$	lidGegi	2
N$	nioladi	2
C	daGa	2
	*T*	2
VBAPL	ipegitege	1
VBAPL	@ipegetege	1
VBAPL	ipegetege	1
N	nigotaGa	1
N$	@lidi	1
N$	lidi	1
N$	loigipodi	1
N$	libinienigipi	1
N$	loigi	1
D	ijo	1
N	niganigi	1
N$	GanigotGa	1
N$	loligi	1
N$	liwigo	1
N$	niwigo	1
N	nioladi	1
N$	Ganixoa	1
N$	nioxoa	1
N$	lodawa	1
WPRO	ane@	1
ADJ	@napioi	1
NPR	João	1
C	me@	1
D	@ijo	1
PRO$	naGajo	1
VBAPL	dowediteloco	1
N	naodigijedi	1
CD	micoataGa	1
N$	lionigipi	1
VBAPL	ipegitaGagi	1
VBAPL	@ipegitegi	1
N	weigi	1
