gloss_br	count
3	167
M	54
casa	36
F	31
beleza	27
canoa	26
pesar	24
a	22
que	22
masc	20
PL	20
indo	19
1	19
eu	19
cidade	17
mulher	17
(ser|estar)_quente	17
lagoa	16
fica	15
ficar(permanente)	15
1SG	15
rio	14
minha casa	14
(ser|estar)_pesad(o|a)	14
sentad(o|a)	13
fica perto de	12
ausente	11
preço	11
comida	10
o	10
sujeira	10
(é|está)_pesad(o|a)	10
aquela	10
MASC	10
deitad(o|a)	10
espírito/fotografia	10
aproximar	9
ficar_perto	9
3M	9
pedra	9
2	8
bonito	8
1s	8
em_pé	8
vaca	8
3F	7
muito	7
casa dele/dela	7
cla	7
está	6
anzol	6
vindo	6
essa	6
ovos	6
emfrente	5
Masc	5
sua comida	5
menino	5
caminho	5
palavra del(e|a)	5
não duro	5
este	5
leite	5
ovo	5
ele	5
estar_perto	5
esse	5
criança	5
grande	5
canoa dela/dele	4
deitado	4
nele (cidade/local)	4
é quente	4
fica próxima de	4
meu pai	4
estar	4
preço del(e|a)	4
estou	4
com ele	4
casa del(e|a)	4
que o	4
navio	4
duro	4
palavra	4
bonita	4
pesa	4
galinha	4
para os	4
alegrar-se	4
suas belezas	4
ess(e|a)	4
n	3
sua casa	3
fotografia	3
COMP	3
irrealis	3
cantor	3
não	3
bonitas	3
não estou feliz	3
vingança/preço	3
ship	3
navios	3
esses	3
filhos	3
FEM	3
ela	3
pedras	3
cair em	3
espírito/fotografia dele/a(s)	3
1|3	3
COM	3
criancinha	3
Fem	3
já	3
anzol del(e|a)	3
em_frente	3
1SG.M	3
SG	3
estar em/ficar em (temporário)	2
casa dela/dele	2
gostosura	2
uma	2
nominalizador	2
seu irmão	2
esposa	2
sujo	2
com	2
filho	2
não (é|está) duro	2
não eu	2
felicidade	2
preços dele	2
seu marido	2
marido|esposa	2
going	2
Pedro	2
formiga	2
com ela	2
mulheres	2
sua fotografia	2
pé	2
est(e|a)s	2
peixes	2
vermelhitudes	2
(ser|estar)_vermelho	2
(ser|estar)_duro	2
não ficamos	2
ficar	2
seu chifre	2
árvore	2
é vermelho	2
filhas	2
Nmlz	2
tinha	2
3Pos	2
está quente	2
espírito	2
(o|a)s	2
que a	2
beiju	2
completivo/passado	1
não fica perto dela	1
aplicativo de 3 pessoa feminino	1
Maria	1
não sua gostosura	1
quente	1
comida dele/dela	1
perfectivo	1
perfectivo/completivo	1
gostosura del(e|a)	1
gostar_de|querer	1
sua comunidade	1
sua beleza	1
comunidade dele	1
comunidade	1
aproximar/ficarperto	1
sua cidade	1
sua delícia	1
fotografia dele/dela	1
retirapossuidor,fotosemdono	1
língua	1
com a	1
dela	1
cuida de	1
plantação de flores	1
que com elas	1
como	1
filh(o|a)s del(e)(a)	1
lá	1
(tirar)	1
não fica perto de	1
tucano	1
está indo	1
nele	1
eles todos	1
todos	1
estão (deitados) em	1
casa dela	1
é duro|caro	1
(ser|estar)_(duro|caro)	1
e	1
(ser|estar)_dur(o|a)	1
estarfeliz	1
ficarperto	1
1pl	1
2M	1
vocês	1
nós	1
Os	1
leite dela	1
estar quente	1
que é pesado	1
vingança	1
está feliz	1
ficar temporário	1
belezas del(e|a)	1
que está feliz	1
(ser|estar)_feliz	1
faca	1
não fica	1
meninos	1
meu pé	1
leite del(e|a)	1
aqueles	1
peixe[M]	1
não é duro	1
pessoa	1
nosso comunidade	1
nossa comunidade	1
avô del(e|a)	1
filha	1
estão em	1
que é em mim	1
lagoa pequena	1
teu irmão	1
homem	1
está pesada	1
baixou/diminuiu	1
hither	1
diminuir	1
seu preço/vingança	1
seu peso	1
seu preço	1
está(horizontal) em	1
que com el(e|a)	1
o|a	1
demais	1
alegria del(e|a)	1
para_fora	1
a quentura del(e|a)	1
quentura del(e|a)	1
alegram-se todos	1
totalitativo	1
faca del(e|a)	1
cônjuge del(e|a)	1
cônjuge	1
peso del(e|a)	1
(ser|estar)_pesado	1
fall	1
come	1
os	1
deitad(o)(a)	1
bonitas/bonitos	1
peixe	1
intesificador	1
(sou|estou) pesad(o|a)	1
estou perto dela	1
estou perto dele	1
M??	1
diz que já	1
beijus	1
que com	1
