source_id	chunk_label	count
van-data	IP-MAT[l=0]	279
hil-data	IP-MAT[l=0]	255
ped-gramm	IP-MAT[l=0]	247
hil-data	NP[l=1]	96
ped-gramm	NP[l=1]	89
van-data	NP[l=1]	76
van-data	NP-SBJ[l=1]	55
van-data	CP-me[l=1]	49
hil-data	CP-me[l=1]	41
ped-gramm	NP-SBJ[l=1]	34
hil-data	NP-SBJ[l=1]	32
van-data	IP-SUB[l=2]	30
van-data	NP[l=3]	26
van-data	NP-PRD[l=1]	25
hil-data	IP-SUB[l=2]	22
van-data	NP[l=2]	22
ped-gramm	NP-APL[l=1]	18
ped-gramm	NP-PRD[l=1]	17
hil-data	NP[l=2]	17
hil-data	NP[l=3]	17
ped-gramm	CP-me[l=1]	15
hil-data	CP-REL[l=2]	13
ped-gramm	IP-SUB[l=3]	12
ped-gramm	CP-REL[l=2]	12
ped-gramm	NP[l=2]	11
hil-data	IP-SUB[l=3]	11
ped-gramm	IP-SUB[l=2]	10
ped-gramm	NP[l=3]	10
hil-data	NP-PRD[l=1]	9
ped-gramm	CP-me[l=2]	8
van-data	NP-APL[l=1]	8
ped-gramm	NP[l=4]	7
hil-data	NP-APL[l=1]	6
van-data	CP-D[l=0]	6
ped-gramm	CP-daGa[l=1]	5
ped-gramm	WNP[l=3]	4
ped-gramm	NP-TRACE[l=4]	4
ped-gramm	CONJP[l=1]	4
hil-data	WNP[l=3]	4
hil-data	NP-TRACE[l=4]	4
hil-data	NP[l=4]	4
hil-data	CP-me[l=2]	4
ped-gramm	IP-MAT[l=2]	3
hil-data	CP-me-me[l=1]	3
van-data	CP-me-me[l=1]	3
van-data	IP-SUB[l=3]	3
van-data	CP-REL[l=2]	3
ped-gramm	IP-MAT[l=1]	2
hil-data	NP-GEN[l=2]	2
van-data	IP-ADV[l=1]	2
van-data	CP-me[l=2]	2
van-data	IP-SUB[l=1]	2
ped-gramm	WNP[l=1]	1
van-data	NP[l=4]	1
van-data	ADVP[l=1]	1
van-data	WNP[l=3]	1
van-data	NP-TRACE[l=4]	1
van-data	NP-GEN[l=2]	1
