source_id	gloss_br	count
van-data	3	61
ped-gramm	3	60
hil-data	3	46
van-data	M	27
ped-gramm	casa	25
van-data	beleza	17
van-data	pesar	17
ped-gramm	a	16
hil-data	M	16
ped-gramm	rio	14
hil-data	(ser|estar)_pesad(o|a)	13
hil-data	F	13
hil-data	(ser|estar)_quente	12
van-data	F	12
van-data	canoa	12
ped-gramm	ausente	11
ped-gramm	M	11
ped-gramm	masc	11
ped-gramm	minha casa	11
hil-data	PL	11
van-data	lagoa	11
ped-gramm	canoa	10
ped-gramm	sujeira	10
hil-data	beleza	10
hil-data	aquela	10
hil-data	eu	10
ped-gramm	que	9
hil-data	mulher	9
hil-data	(é|está)_pesad(o|a)	9
hil-data	1SG	9
hil-data	1	9
van-data	PL	9
van-data	indo	9
hil-data	que	8
hil-data	sentad(o|a)	8
van-data	mulher	8
van-data	eu	8
van-data	cidade	8
ped-gramm	pesar	7
ped-gramm	ficar_perto	7
ped-gramm	fica	7
ped-gramm	ficar(permanente)	7
van-data	casa	7
van-data	MASC	7
van-data	o	7
van-data	espírito/fotografia	7
ped-gramm	F	6
ped-gramm	3M	6
ped-gramm	comida	6
hil-data	pedra	6
van-data	a	6
van-data	1	6
van-data	1SG	6
ped-gramm	indo	5
ped-gramm	fica perto de	5
ped-gramm	aproximar	5
ped-gramm	lagoa	5
ped-gramm	cidade	5
ped-gramm	sua comida	5
ped-gramm	caminho	5
ped-gramm	1s	5
ped-gramm	preço	5
hil-data	masc	5
hil-data	indo	5
hil-data	deitad(o|a)	5
van-data	fica	5
van-data	ficar(permanente)	5
van-data	grande	5
van-data	que	5
van-data	deitad(o|a)	5
van-data	(ser|estar)_quente	5
van-data	sentad(o|a)	5
van-data	ovos	5
ped-gramm	está	4
ped-gramm	Masc	4
ped-gramm	fica próxima de	4
ped-gramm	2	4
ped-gramm	bonito	4
ped-gramm	1	4
ped-gramm	meu pai	4
ped-gramm	casa dele/dela	4
ped-gramm	navio	4
hil-data	cla	4
hil-data	preço	4
hil-data	muito	4
hil-data	este	4
hil-data	canoa	4
hil-data	cidade	4
hil-data	vindo	4
hil-data	casa	4
hil-data	pesa	4
van-data	em_pé	4
van-data	anzol	4
van-data	masc	4
van-data	ele	4
van-data	vaca	4
van-data	leite	4
van-data	estar_perto	4
van-data	fica perto de	4
ped-gramm	cantor	3
ped-gramm	não duro	3
ped-gramm	navios	3
hil-data	bonito	3
hil-data	em_pé	3
hil-data	fica	3
hil-data	ficar(permanente)	3
hil-data	MASC	3
hil-data	essa	3
hil-data	espírito/fotografia	3
hil-data	ovo	3
hil-data	para os	3
hil-data	esse	3
hil-data	estar	3
hil-data	casa dele/dela	3
hil-data	fica perto de	3
hil-data	aproximar	3
hil-data	3F	3
van-data	minha casa	3
van-data	1s	3
