source_id	source_tag	count
van-data	N$	74
ped-gramm	N$	72
hil-data	N$	50
van-data	D	48
hil-data	VB	45
ped-gramm	N	41
van-data	N	41
hil-data	D	39
van-data	VB	39
hil-data	N	37
ped-gramm	D	29
ped-gramm	VB	24
van-data	C	21
hil-data	C	17
ped-gramm	VBAPL	16
ped-gramm	PUNC	13
ped-gramm	C	11
hil-data	NEG	10
hil-data	PRO	10
hil-data	VBAPL	10
van-data	VBAPL	10
ped-gramm	NEG	9
van-data	PRO	9
van-data	NEG	9
hil-data	PUNC	8
van-data	Q	8
van-data	DAPL	7
hil-data		6
hil-data	Q	6
ped-gramm	NPR	5
ped-gramm	WPRO	5
hil-data	DAPL	5
ped-gramm	ADJ	4
ped-gramm		4
ped-gramm	PRO	4
hil-data	WPRO	4
hil-data	NPR	4
van-data	T	4
hil-data	VBU	3
van-data	NPR	3
van-data	NEG+D	3
ped-gramm	T	2
ped-gramm	DAPL	2
ped-gramm	Q	2
ped-gramm	VBU	2
van-data		2
van-data	PUNC	2
ped-gramm	PRO$	1
ped-gramm	CONJ	1
hil-data	CNEG+VBU	1
van-data	ADV	1
van-data	WPRO	1
van-data	VBU	1
van-data	ADJ	1
van-data	EV	1
