source_id	split_tag_sequence	count
ped-gramm	Gen|n	41
van-data	Gen|n	23
ped-gramm	Gnr|Ncl	21
van-data	Gnr|Ncl	19
ped-gramm	Ant|n	16
hil-data	Gen|n	16
hil-data	Erg|v	16
van-data	Ant|n	12
ped-gramm	Erg|v|Apl	10
hil-data	Anf|Gnr|Ncl	10
hil-data	Dem|Gnr|Ncl	10
van-data	Abs|v	10
van-data	||	10
hil-data	|	9
hil-data	Pro	9
ped-gramm	n	7
ped-gramm	Erg|v	7
hil-data	Inv|v	7
hil-data	||	7
van-data	Erg|v|Apl	7
van-data	Pro	6
ped-gramm	Inv|v	5
ped-gramm	Gen|n|Dim	5
van-data	Erg|v	5
van-data	Gen|n|Dim|Gnr	5
van-data	|Gnr|Ncl|Apl	5
van-data	|	5
ped-gramm	Abs|v	4
ped-gramm	v|Gnr|Ncl	4
hil-data	n|Cla	4
hil-data	Gen|n|Dim|Plu	4
hil-data	Ant|n	4
hil-data	Anf|Gnr|Ncl|Plu	4
hil-data	Gen|n|Plu	4
hil-data	Gnr|Ncl	4
hil-data	Erg|v|Apl	4
van-data	n|Cla	4
van-data	Dem|Gnr|Ncl	4
van-data	Inv|v	4
van-data	n|Plu	4
ped-gramm	Gen|n|Plu	3
ped-gramm	|	3
ped-gramm	n|Plu	3
hil-data	Gen|n|Dim	3
hil-data	v|Gnr|Ncl	3
van-data	n	3
van-data	PFV	3
van-data	n|Dim|Gnr|Dim|Gnr	3
van-data	Anf|Gnr|Ncl	3
van-data	Gen|n|Plu	3
van-data	Gen|n|Dim|Gnr|Plu	3
van-data	Gnr|Ncl|Plu	3
van-data	Ant|n|Sgv	3
ped-gramm	Neg|Erg|v|Apl	2
ped-gramm	Gnr|n|Plu	2
ped-gramm	c|Gnr|Ncl	2
ped-gramm	|Inv|v	2
hil-data	Neg|Inv|v	2
hil-data	Gen|n|Dim|Gnr|Plu	2
hil-data	n|Plu	2
hil-data	||v|	2
hil-data	|||	2
hil-data	Neg|Abs|Inv|v|Plu	2
hil-data	n|Dim|Gnr|Dim|Gnr	2
hil-data	Gen|canoa	2
van-data	|Gnr|Ncl	2
van-data	Gen|n|Dim	2
van-data	Gen|n|Dim|Plu	2
van-data	Gen|v|Der	2
van-data	c|Gnr|Ncl	2
van-data	Anf|Gnr|Ncl|Plu	2
van-data	Gen|v|Der|Gnr	2
van-data	|||	2
van-data	Gnr|n|Gnr|Plu	2
ped-gramm	Gen|canoa	1
ped-gramm	PFV	1
ped-gramm	v	1
ped-gramm	||	1
ped-gramm	Ant|cidade	1
ped-gramm	Neg|Gen|n	1
ped-gramm	t	1
ped-gramm	Gen|v|Der|Gnr	1
ped-gramm	Gen|n|Der|Gnr	1
ped-gramm	Wpro|Adj	1
ped-gramm	Dem|Gnr|Ncl	1
ped-gramm	c|Gnr|Ncl|Plu|Apl	1
ped-gramm	Adv|Gen|Ncl	1
ped-gramm	Erg|v|OBL|Apl	1
ped-gramm	Gnr|Ncl|Coll	1
ped-gramm	Gen|Ant|n	1
ped-gramm	Neg|Inv|vu	1
ped-gramm	c|Gnr|Ncl|Apl	1
ped-gramm	v|Plu	1
ped-gramm	Neg|Abs|Inv|v	1
ped-gramm	Erg|v|Plu|Hon|Apl|Coll	1
ped-gramm	v|Der|Gnr	1
ped-gramm	Pro|Plu	1
ped-gramm	Dem|Gnr|Ncl|Plu	1
ped-gramm	Inv|v|Plu	1
ped-gramm	Wpro|v|Der	1
ped-gramm	Neg|Inv|v	1
hil-data	Gnr|n	1
hil-data	Neg|	1
hil-data	Erg|v|Dir	1
hil-data	c|Gnr|Ncl|Apl	1
hil-data	n|Gnr|Ep|Plu	1
hil-data	Gen|n|Dim|Gnr	1
hil-data	Abs|v|Dir|Tot	1
hil-data	Neg|v	1
hil-data	n	1
hil-data	Gen|v|Der|Plu	1
hil-data	v|Plu	1
hil-data	Erg||Plu|Apl	1
hil-data	Erg|v|Plu|Apl|Gnr||Tot	1
hil-data	|Pro|Apl	1
van-data	Gen|Ant|n	1
van-data	Dir|v	1
van-data	c|Gnr|Ncl|Apl	1
van-data	c|	1
van-data	Gen|v|Dir|Nmlz|Gnr	1
van-data	Abs|v|Dir|Tot	1
van-data	Gen|v||Dim	1
van-data	Dem|Gnr|Ncl|Plu	1
van-data	Gen|v|Der|Plu	1
van-data	Neg|Inv|vu	1
van-data	Neg|Gnr|Ncl	1
van-data	||||Dir	1
van-data	v|Der|Gnr	1
van-data	Neg|Inv|v|Dir	1
van-data	Neg||	1
van-data	Neg|Pro|a	1
van-data	Erg|v|Plu|Apl|Gnr	1
van-data	Neg|Abs|Inv|v|Plu	1
van-data	Erg|v|Plu|Apl|Gnr||Tot	1
van-data	ev|t	1
van-data	c|Apl	1
