source_tag	chunk_label	count
N$	IP-MAT[l=0]	196
N	IP-MAT[l=0]	119
D	IP-MAT[l=0]	116
VB	IP-MAT[l=0]	108
N$	NP[l=1]	76
N	NP[l=1]	66
D	NP[l=1]	63
C	IP-MAT[l=0]	47
N$	NP-SBJ[l=1]	44
N$	NP-PRD[l=1]	41
D	NP-SBJ[l=1]	37
C	CP-me[l=1]	35
VBAPL	IP-MAT[l=0]	34
NEG	IP-MAT[l=0]	28
N	NP[l=2]	28
N	NP-SBJ[l=1]	25
PRO	IP-MAT[l=0]	23
PUNC	IP-MAT[l=0]	23
PRO	NP[l=1]	19
N$	NP[l=3]	18
N$	CP-me[l=1]	17
N$	IP-SUB[l=2]	17
Q	IP-MAT[l=0]	16
N	NP-APL[l=1]	15
D	CP-me[l=1]	14
D	IP-SUB[l=2]	14
D	NP[l=3]	14
DAPL	IP-MAT[l=0]	14
NPR	IP-MAT[l=0]	12
N$	NP-APL[l=1]	12
	IP-MAT[l=0]	12
DAPL	CP-me[l=1]	11
DAPL	IP-SUB[l=2]	11
DAPL	NP[l=3]	11
N$	NP[l=2]	10
WPRO	IP-MAT[l=0]	10
	NP[l=1]	10
NPR	NP[l=2]	9
WPRO	CP-REL[l=2]	9
WPRO	WNP[l=3]	9
	CP-REL[l=2]	9
	IP-SUB[l=3]	9
	NP-TRACE[l=4]	9
N	IP-SUB[l=2]	9
N	NP[l=3]	9
Q	CP-me[l=1]	9
N	CP-me[l=1]	8
NPR	NP[l=1]	7
C	CP-me[l=2]	7
N	NP[l=4]	7
WPRO	NP[l=1]	7
VB	IP-SUB[l=3]	7
VB	CP-me[l=1]	7
VB	IP-SUB[l=2]	7
T	IP-MAT[l=0]	6
VBU	IP-MAT[l=0]	6
VB	NP[l=1]	6
VB	CP-REL[l=2]	6
NPR	NP-SBJ[l=1]	5
ADJ	IP-MAT[l=0]	5
N	IP-SUB[l=3]	5
C	NP[l=1]	4
N	NP-PRD[l=1]	4
Q	NP-PRD[l=1]	4
PRO	NP-SBJ[l=1]	4
D	NP[l=2]	3
N	CP-REL[l=2]	3
DAPL	CP-me[l=2]	3
DAPL	IP-SUB[l=3]	3
DAPL	NP[l=4]	3
C	CP-daGa[l=1]	3
	NP-GEN[l=2]	3
N	CP-me[l=2]	2
C	NP-APL[l=1]	2
N$	IP-SUB[l=3]	2
N$	NP[l=4]	2
VBU	CP-me[l=1]	2
VBU	IP-SUB[l=2]	2
ADJ	NP-SBJ[l=1]	2
Q	CP-me-me[l=1]	2
C	CP-me-me[l=1]	2
N$	CP-me-me[l=1]	2
DAPL	NP[l=1]	2
D	NP-PRD[l=1]	2
NEG+D	CP-D[l=0]	2
C	CP-D[l=0]	2
VBAPL	CP-D[l=0]	2
VBAPL	IP-SUB[l=1]	2
WPRO	WNP[l=1]	1
PRO$	IP-MAT[l=0]	1
PRO$	CP-me[l=1]	1
PRO$	IP-SUB[l=2]	1
PRO$	NP[l=3]	1
DAPL	NP-APL[l=1]	1
N$	CP-daGa[l=1]	1
N$	CP-me[l=2]	1
N	CP-daGa[l=1]	1
WPRO	NP-APL[l=1]	1
	NP-APL[l=1]	1
N$	IP-MAT[l=1]	1
VB	IP-MAT[l=1]	1
CONJ	IP-MAT[l=0]	1
CONJ	CONJP[l=1]	1
NEG	CONJP[l=1]	1
NEG	IP-MAT[l=2]	1
VBU	CONJP[l=1]	1
VBU	IP-MAT[l=2]	1
N$	CONJP[l=1]	1
N$	IP-MAT[l=2]	1
ADJ	NP[l=1]	1
WPRO	NP-SBJ[l=1]	1
	NP-SBJ[l=1]	1
VB	NP-SBJ[l=1]	1
CNEG+VBU	IP-MAT[l=0]	1
N$	CP-REL[l=2]	1
VB	IP-ADV[l=1]	1
N$	IP-ADV[l=1]	1
ADV	IP-MAT[l=0]	1
ADV	ADVP[l=1]	1
VB	CP-me[l=2]	1
NEG+D	IP-MAT[l=0]	1
NEG	CP-me[l=1]	1
NEG	IP-SUB[l=2]	1
EV	IP-MAT[l=0]	1
Q	NP-SBJ[l=1]	1
