split_form	split_tag	count
l	Gen	110
i	Gnr	64
i	Erg	48
a	Gnr	43
n	Ant	38
jo	Ncl	33
gi	Gnr	33
Geladi	n	29
d	Inv	28
waGadi	v	26
na	Dim	23
pegi	v	22
i		21
ni	Ncl	20
me		20
binie	n	19
Ga	Plu	19
nG	Anf	19
aG	Neg	18
i	Gen	18
i	Abs	17
di	Ncl	17
ca	Ncl	17
ee	Pro	17
dei	v	16
nG	Dem	15
da	Ncl	15
watece	n	14
taGa	Apl	14
aG		14
weiigi	n	11
tegi	Apl	11
wigo	n	11
pi	Plu	10
me	c	10
wa	Plu	10
akake	v	10
oojedi	n	10
di		10
apicoGo	v	8
ibinie	n	8
nigi	Dim	8
j	Erg	8
iwaa	n	8
lo	Cla	8
et	v	7
		7
tece	Apl	6
apioi	n	6
tedi	Plu	6
na	Ncl	6
iGeladi	n	5
ooligi	n	5
Gad	Gen	5
otaGa	n	5
l		5
di	Plu	5
d		5
nigaa	n	5
awaana	Dim	5
ca		5
jaG	PFV	4
l	Gnr	4
VB		4
waca	n	4
li	Plu	4
waji	Tot	4
getegi	n	4
watece	canoa	3
digo		3
tege	Apl	3
idi	n	3
Ge	Der	3
wenigi	n	3
etogo	n	3
ni	v	3
wetiGa	n	3
ani	v	3
teloco	Apl	3
otiidi	n	3
pegi		3
omiigo	n	3
apico	v	3
gota	n	3
Ga	Sgv	3
pege	v	2
oigi	n	2
ane	Wpro	2
ionigi	n	2
naGa	Dim	2
akake	vu	2
ejin	v	2
aGa	Plu	2
ee		2
nini	v	2
keGe	Der	2
ojedi		2
odawa	n	2
iwaGadi		2
a		2
a	Plu	2
n	Abs	2
tibigi	Dir	2
niG	Dem	2
odajo	n	2
Gonagi	n	2
noGojegi	n	2
ixagodi	v	2
eliodi		2
ini	v	2
tibeci		2
ji		2
tege		2
ejona	v	2
ti		2
ibiwe	n	2
ixagodi		2
wa		2
tibeci	Dir	2
jigi	Erg	2
nike		2
Gi		2
gi		2
eoni	n	2
etadi	v	1
da		1
gotaGa	cidade	1
jaG	t	1
ide	v	1
podi	Plu	1
binienigi	n	1
nigotaGa	n	1
oligi	n	1
ioladi	n	1
nixoa	n	1
napioi	Adj	1
digo	Adv	1
taGa	OBL	1
gi	Apl	1
tawece	Coll	1
digo i da		1
aginaGa	n	1
di	Inv	1
ninitebeci	v	1
paca	v	1
ta	Hon	1
Gagi	Apl	1
tiwaji	Coll	1
akaam	Pro	1
i	Plu	1
otiidi		1
apiko	v	1
iwa	v	1
Gadi	Der	1
ojedi	n	1
Ga	Gnr	1
nioxoa	n	1
ane		1
dakake		1
ion	n	1
ijotaGa		1
ticoaci	Dir	1
Iwaa	n	1
lo	Gnr	1
p	Ep	1
adi	Plu	1
ninitibeci		1
idei	v	1
taGa	Der	1
adataGa		1
idataGa		1
idinitibeci		1
ipegi		1
taGagi	Apl	1
iona	n	1
Ga	Gen	1
aaginaGa	n	1
n	Dir	1
oxilece	v	1
oje		1
tedi		1
iwaaGadi	v	1
tena	Der	1
initaGa		1
ke	Dir	1
Ge	Nmlz	1
apica	v	1
Ga	Der	1
Gi	Der	1
odowa	n	1
iwaaGa	v	1
te		1
apikoGo	v	1
apikoGo		1
aGa	Der	1
nike	v	1
nini		1
inini	v	1
id	Abs	1
waaGadi	v	1
ewi	a	1
eyo		1
edona	v	1
ije		1
one	ev	1
jaGa	t	1
emé		1
tegi		1
biju	n	1
