split_tag_sequence	count
Gen|n	80
Gnr|Ncl	44
Ant|n	32
Erg|v	28
Erg|v|Apl	21
||	18
|	17
Inv|v	16
Dem|Gnr|Ncl	15
Pro	15
Abs|v	14
Anf|Gnr|Ncl	13
n	11
Gen|n|Dim	10
Gen|n|Plu	10
n|Plu	9
n|Cla	8
v|Gnr|Ncl	7
Gen|n|Dim|Plu	6
Anf|Gnr|Ncl|Plu	6
Gen|n|Dim|Gnr	6
Gen|n|Dim|Gnr|Plu	5
n|Dim|Gnr|Dim|Gnr	5
|Gnr|Ncl|Apl	5
PFV	4
c|Gnr|Ncl	4
|||	4
Gen|canoa	3
Gen|v|Der|Gnr	3
c|Gnr|Ncl|Apl	3
Neg|Inv|v	3
Neg|Abs|Inv|v|Plu	3
Gnr|Ncl|Plu	3
Ant|n|Sgv	3
Neg|Erg|v|Apl	2
Gnr|n|Plu	2
Gen|Ant|n	2
Neg|Inv|vu	2
v|Plu	2
v|Der|Gnr	2
Dem|Gnr|Ncl|Plu	2
|Inv|v	2
Abs|v|Dir|Tot	2
Gen|v|Der|Plu	2
||v|	2
Erg|v|Plu|Apl|Gnr||Tot	2
|Gnr|Ncl	2
Gen|v|Der	2
Gnr|n|Gnr|Plu	2
v	1
Ant|cidade	1
Neg|Gen|n	1
t	1
Gen|n|Der|Gnr	1
Wpro|Adj	1
c|Gnr|Ncl|Plu|Apl	1
Adv|Gen|Ncl	1
Erg|v|OBL|Apl	1
Gnr|Ncl|Coll	1
Neg|Abs|Inv|v	1
Erg|v|Plu|Hon|Apl|Coll	1
Pro|Plu	1
Inv|v|Plu	1
Wpro|v|Der	1
Gnr|n	1
Neg|	1
Erg|v|Dir	1
n|Gnr|Ep|Plu	1
Neg|v	1
Erg||Plu|Apl	1
|Pro|Apl	1
Dir|v	1
c|	1
Gen|v|Dir|Nmlz|Gnr	1
Gen|v||Dim	1
Neg|Gnr|Ncl	1
||||Dir	1
Neg|Inv|v|Dir	1
Neg||	1
Neg|Pro|a	1
Erg|v|Plu|Apl|Gnr	1
ev|t	1
c|Apl	1
