source_tag	best_feats	best_count	total	confidence
	Mood=Ind|Person=3|VerbForm=Fin	2	3	0.667
ADJ	_	2	2	1.000
ADV	_	1	1	1.000
C	_	20	20	1.000
D	Gender=Masc|Number=Sing|PronType=Dem	27	61	0.443
DAPL	Gender=Fem|Number=Sing|PronType=Dem	5	7	0.714
N	Gender=Fem|Number=Sing	19	53	0.358
N$	Gender=Masc|Number=Sing|Person[psor]=3	33	102	0.324
NEG	Polarity=Neg	5	5	1.000
NEG+ADJ	_	2	2	1.000
NPR	_	4	4	1.000
PRO	Gender=Fem|Number=Sing|Person=1|PronType=Prs	2	3	0.667
PRO$	Gender=Fem|Number=Sing|PronType=Dem	1	1	1.000
PUNC	_	4	4	1.000
Q	_	3	7	0.429
T	Aspect=Perf	5	5	1.000
VB	Mood=Ind|Person=3|VerbForm=Fin	23	51	0.451
VBAPL	Mood=Ind|Person[erg]=3|Person[obj]=3|VerbForm=Fin|Voice=Appl	3	9	0.333
WPRO	PronType=Rel	3	3	1.000
